model,field,suggestedEnglish
User,id,id
User,discordId,discordId
User,googleId,googleId
User,appleId,appleId
User,amazonId,amazonId
User,facebookId,facebookId
User,username,username
User,discriminator,discriminator
User,avatar,avatar
User,email,email
User,passwordHash,passwordHash
User,emailBackup,emailBackup
User,emailVerified,emailVerified
User,totpSecret,totpSecret
User,totpEnabled,totpEnabled
User,firstName,firstName
User,lastName,lastName
User,bio,bio
User,website,website
User,publicProfile,publicProfile
User,birthdate,birthdate
User,country,country
User,region,region
User,legalAge,legalAge
User,consentRDR,consentRDR
User,consentDate,consentDate
User,roles,roles
User,accountType,accountType
User,isBanned,isBanned
User,bannedAt,bannedAt
User,banReason,banReason
User,locale,locale
User,theme,theme
User,defaultExportTemplate,defaultExportTemplate
User,subscriptionType,subscriptionType
User,subscriptionStart,subscriptionStart
User,subscriptionEnd,subscriptionEnd
User,subscriptionStatus,subscriptionStatus
User,dailyExportsUsed,dailyExportsUsed
User,dailyExportsReset,dailyExportsReset
User,kycStatus,kycStatus
User,kycDocuments,kycDocuments
User,kycVerifiedAt,kycVerifiedAt
User,kycRejectionReason,kycRejectionReason
User,createdAt,createdAt
User,updatedAt,updatedAt
User,reviews,reviews
User,sessions,sessions
User,likes,likes
User,subscription,subscription
User,influencerProfile,influencerProfile
User,producerProfile,producerProfile
User,reportsSubmitted,reportsSubmitted
User,reportsReceived,reportsReceived
User,cultivars,cultivars
User,geneticTrees,geneticTrees
User,cultureSetups,cultureSetups
User,savedTemplates,savedTemplates
User,watermarks,watermarks
User,savedData,savedData
User,stats,stats
User,comments,comments
User,exports,exports
User,exportTemplates,exportTemplates
User,presets,presets
Session,id,id
Session,sid,sid
Session,userId,userId
Session,expiresAt,expiresAt
Session,createdAt,createdAt
Session,user,user
Review,id,id
Review,holderName,holderName
Review,type,type
Review,description,description
Review,note,note
Review,ratings,ratings
Review,categoryRatings,categoryRatings
Review,terpenes,terpenes
Review,tastes,tastes
Review,aromas,aromas
Review,effects,effects
Review,strainType,strainType
Review,indicaRatio,indicaRatio
Review,cultivarsList,cultivarsList
Review,pipelineExtraction,pipelineExtraction
Review,pipelineSeparation,pipelineSeparation
Review,purgevide,vacuumPurge
Review,hashmaker,hashmaker
Review,breeder,breeder
Review,farm,farm
Review,cultivars,cultivars
Review,extraData,extraData
Review,toucheDensite,touchdensity
Review,toucheFriabilite,touchfriability
Review,toucheElasticite,touchlasticity
Review,toucheHumidite,touchhumidity
Review,toucheTexture,touchTexture
Review,toucheMalleabilite,touchMalleabilite
Review,toucheCollant,touchCollant
Review,toucheFragilite,touchFragilite
Review,toucheViscosite,touchviscosity
Review,toucheStabilite,touchStabilite
Review,aromasPiquant,aromasPiquant
Review,aromasIntensity,aromasIntensity
Review,tastesIntensity,tastesIntensity
Review,goutIntensity,tasteIntensity
Review,effectsIntensity,effectsIntensity
Review,typeCulture,typeCulture
Review,spectre,spectre
Review,substratSysteme,substrateSysteme
Review,techniquesPropagation,techniquesPropagation
Review,engraisOrganiques,fertilizersOrganiques
Review,engraisMineraux,fertilizersMineraux
Review,additifsStimulants,additifsStimulants
Review,densite,density
Review,trichome,trichome
Review,pistil,pistil
Review,manucure,manicure
Review,moisissure,mold
Review,graines,seeds
Review,couleurTransparence,colorTransparence
Review,pureteVisuelle,pureteVisuelle
Review,couleur,color
Review,viscosite,viscosity
Review,melting,melting
Review,residus,residues
Review,intensiteAromatique,intensityAromatique
Review,notesDominantesOdeur,aromaDominantNotes
Review,notesSecondairesOdeur,aromaSecondaryNotes
Review,fideliteCultivars,fidelityCultivars
Review,durete,durete
Review,densiteTexture,densityTexture
Review,elasticite,elasticity
Review,collant,collant
Review,friabiliteViscosite,friabilityviscosity
Review,meltingResidus,meltingresidues
Review,aspectCollantGras,aspectCollantGras
Review,viscositeTexture,viscosityTexture
Review,dryPuff,dryPuff
Review,inhalation,inhalation
Review,expiration,expiration
Review,intensiteFumee,intensityFumee
Review,agressivite,agressivite
Review,cendre,cendre
Review,textureBouche,textureBouche
Review,douceur,douceur
Review,intensite,intensity
Review,montee,onset
Review,intensiteEffet,intensityEffet
Review,intensiteEffets,intensityEffets
Review,typeEffet,typeEffet
Review,dureeEffet,effectDuration
Review,purificationPipeline,purificationPipeline
Review,fertilizationPipeline,fertilizationPipeline
Review,substratMix,substrateMix
Review,recipe,recipe
Review,images,images
Review,mainImage,mainImage
Review,isPublic,isPublic
Review,isPrivate,isPrivate
Review,createdAt,createdAt
Review,updatedAt,updatedAt
